"Stars","ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
15,312.167,9,5,8,5,17623,0,0,5,4,0,0,8,0,0,0,0,0,2,5,5,10
17,959.952,14,9,10,8,331,99,0,9,17,0,1,33,0,0,0,0,3,5,16,20,36
4,239.144,3,3,2,3,17623,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
1,579.916,5,5,2,5,17623,0,0,5,1,0,0,5,0,0,0,0,0,4,4,6,10
4,614.116,10,6,5,5,331,99,0,6,4,0,0,13,0,0,0,0,0,4,11,4,15
8,556.104,7,4,5,3,331,99,0,4,1,0,0,7,0,0,0,0,0,1,3,3,6
5,769.66,10,4,3,3,118,84,22,4,0,0,0,9,0,0,0,0,0,10,6,0,6
3,1116.319,5,4,3,4,17623,0,0,4,2,0,0,4,0,0,0,0,0,0,3,3,6
11,256.883,17,9,15,9,17623,0,0,9,33,6,2,12,1,1,0,0,2,2,14,22,36
4,55.365,8,4,7,4,17623,0,0,4,9,0,0,3,0,0,0,0,0,0,3,3,6
5,1.403,8,8,7,8,17623,0,0,8,28,0,0,0,0,0,0,0,0,0,7,21,28
1,807.081,9,7,9,7,17623,0,0,7,24,0,0,8,0,0,0,0,0,0,11,10,21
11,556.534,6,4,1,3,118,84,22,4,0,0,0,5,0,0,0,0,0,7,4,2,6
15,913.56,25,14,24,14,17623,0,0,14,102,10,3,28,0,0,1,0,1,1,37,54,91
2,0.508,3,3,3,3,17623,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
163,225.694,25,16,24,16,17623,0,0,16,105,10,14,13,0,0,0,0,2,0,23,97,120
14,668.945,8,6,3,5,331,99,0,6,1,0,0,10,0,0,0,0,0,10,8,7,15
42,735.138,25,21,24,21,17623,0,0,21,163,15,20,21,0,0,0,0,1,0,21,189,210
44,933.211,20,17,16,17,17623,0,0,17,63,24,13,41,0,0,2,0,5,3,35,101,136
11,292.194,7,6,4,6,17623,0,0,6,2,1,3,5,0,0,1,0,3,1,5,10,15
6,1056.744,16,11,13,10,17,17,5,11,21,8,0,32,0,0,3,0,0,5,16,39,55
66,648.242,25,20,22,20,17623,0,0,20,189,0,0,47,0,0,0,0,0,1,57,133,190
6,361.748,4,4,3,4,17623,0,0,4,3,0,0,3,0,0,0,0,0,0,0,6,6
3,526.954,7,6,3,5,57,255,183,6,5,0,0,9,0,0,0,0,0,3,7,8,15
603,387.046,25,19,22,19,17623,0,0,19,152,1,0,43,0,0,0,0,0,1,26,145,171
35,642.66,25,20,23,20,17623,0,0,20,185,0,0,64,0,0,0,0,0,1,52,138,190
5,296.361,4,4,2,4,17623,0,0,4,1,0,0,4,0,0,0,0,0,1,1,5,6
716,330.139,25,21,22,21,17623,0,0,21,220,1,0,42,0,0,0,0,0,0,62,148,210
2657,114.959,25,25,24,25,12,0,0,25,276,0,0,24,0,0,0,0,0,0,0,300,300
1,614.077,5,4,3,3,331,99,0,4,0,0,0,4,0,0,0,0,0,4,5,1,6
1,246.638,3,3,2,3,17623,0,0,3,1,0,2,0,0,0,0,0,0,0,0,3,3
4284,283.908,25,19,22,19,17623,0,0,19,165,0,10,67,0,0,0,0,3,0,58,113,171
7,469.438,7,5,3,4,249,375,145,5,3,0,0,7,0,0,0,0,0,2,3,7,10
3,501.03,4,3,1,2,249,375,145,3,0,0,0,0,0,0,0,0,0,5,3,0,3
4,479.245,5,4,3,4,17623,0,0,4,1,0,0,5,0,0,0,0,0,1,3,3,6
2,238.562,4,4,2,4,17623,0,0,4,3,0,0,3,0,0,0,0,0,0,0,6,6
13,292.547,16,11,14,11,17623,0,0,11,37,1,0,23,0,0,1,0,1,1,19,36,55
1010,364.183,25,24,22,24,17623,0,0,24,212,19,0,46,0,0,0,0,0,1,27,249,276
4052,341.124,25,22,21,22,17623,0,0,22,210,0,0,34,0,0,0,0,0,0,5,226,231
10,209.571,4,3,1,3,17623,0,0,3,0,0,0,3,0,0,0,0,0,2,3,0,3
2,253.24,3,3,2,3,17623,0,0,3,1,0,0,2,0,0,0,0,0,0,0,3,3
1024,447.917,25,25,24,25,331,99,0,25,226,19,8,46,0,0,0,0,0,1,42,258,300
2,48.321,4,3,3,3,17623,0,0,3,1,0,0,4,0,0,0,0,0,0,2,1,3
204,387.896,25,22,22,22,5,0,0,22,210,0,0,63,0,0,0,0,0,0,31,200,231
37,498.633,25,24,23,24,17623,0,0,24,231,0,8,36,0,0,0,0,1,0,10,266,276
76,989.657,13,10,9,10,17623,0,0,10,16,0,0,30,0,0,0,0,0,5,7,38,45
