issue.id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,commenters.nonowners,comments.by.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct.edges,total.edges
118563,RESOLVED,Guy Pelletier,normal,3,Doug Clarke,3178.3561,24,7,7,24,297,372,360,7,3,3,7,19,0,0,2,0,11,14,9,12,21
118603,RESOLVED,Chris Delahunt,normal,3,Doug Clarke,8424.5675,11,4,4,11,106,78,63,4,0,1,2,1,0,2,5,0,2,0,4,2,6
118614,RESOLVED,Project Inbox,normal,3,None,10099.7481,7,4,4,7,1579,0,0,4,0,0,6,0,0,0,0,3,0,0,5,1,6
118619,RESOLVED,Guy Pelletier,enhancement,4,Gordon Yorke,13179.2622,16,6,6,16,297,372,360,6,0,3,10,5,0,1,0,10,8,0,10,5,15
118701,RESOLVED,None,major,5,None,12024.4311,13,8,8,13,305,109,109,8,15,9,7,0,0,1,0,0,0,0,8,20,28
118765,CLOSED,Chris Delahunt,critical,6,Markus KARG,14768.0883,20,8,8,20,106,78,63,8,11,14,12,0,0,4,0,2,0,0,10,18,28
118879,RESOLVED,Michael OBrien,enhancement,4,Gordon Yorke,14768.4447,46,8,8,46,190,202,202,8,16,3,46,3,0,25,4,13,3,3,17,11,28
119055,RESOLVED,Gordon Yorke,blocker,7,None,38110.8153,19,7,7,19,142,54,54,7,6,13,7,2,0,5,0,0,0,0,4,17,21
119145,RESOLVED,Michael OBrien,normal,3,Michael OBrien,16275.5375,54,3,3,54,190,202,202,3,0,0,21,1,0,0,0,3,1,0,2,1,3
119298,RESOLVED,Tom Ware,normal,3,Tommy Odom,14445.3933,13,5,5,13,316,216,210,5,0,0,11,1,0,0,0,3,0,1,5,5,10
119373,RESOLVED,Project Inbox,normal,3,Paul Bakker,4411.4675,6,4,4,6,1579,0,0,4,1,4,0,2,0,0,1,0,0,0,3,3,6
119474,RESOLVED,David Minsky,normal,3,David Minsky,10947.5333,12,3,2,2,125,38,14,3,0,0,1,0,0,0,1,0,0,0,2,1,3
119479,RESOLVED,kyle chen,normal,3,kyle chen,23921.8747,8,3,2,5,6,25,8,3,2,0,2,1,0,0,0,0,0,1,3,0,3
119528,RESOLVED,Guy Pelletier,normal,3,Andreas Fischbach,3506.3822,14,5,5,14,297,372,360,5,1,0,3,12,0,0,0,0,0,3,8,2,10
119566,RESOLVED,Project Inbox,minor,2,None,7053.5272,16,5,5,16,1579,0,0,5,3,0,4,11,0,0,0,0,0,0,4,6,10
119656,RESOLVED,None,normal,3,None,2281.2483,10,5,5,10,305,109,109,5,0,0,0,0,0,0,0,0,7,4,7,3,10
