"issue.id","ElapsedTime","Interest","Contributors","ExternalContributors","CommunityInterest","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","TotalDistinctEdges","TotalEdges"
222508,7680.745,12,4,4,12,10,17,17,4,0,2,4,0,0,2,0,2,0,0,6,0,6
222542,8850.1969,14,3,3,14,1014,0,0,3,0,0,0,0,0,7,0,4,0,0,3,0,3
222561,19072.6242,22,8,8,22,1014,0,0,8,10,15,30,0,2,13,0,8,0,0,20,8,28
222587,4150.2472,26,5,5,26,1014,0,0,5,0,6,19,0,0,9,0,11,0,0,9,1,10
222600,7562.0511,22,5,5,22,69,39,39,5,5,4,25,0,0,7,0,5,0,0,9,1,10
222616,8041.5381,23,4,4,23,1014,0,0,4,7,17,13,0,0,12,0,0,0,0,6,0,6
222625,13944.3894,14,4,4,14,1014,0,0,4,0,1,3,0,0,11,0,1,0,0,4,2,6
222717,7703.1297,13,5,5,13,7,54,54,5,0,2,3,0,1,2,0,0,0,0,5,5,10
222728,6016.0783,21,4,4,21,190,0,0,4,0,0,0,0,0,13,0,8,0,0,5,1,6
222805,3886.1956,16,4,4,16,17,72,72,4,0,0,0,0,0,5,0,6,0,0,4,2,6
222811,15910.4189,17,4,4,17,34,66,66,4,8,0,12,0,0,0,0,0,0,0,4,2,6
222816,11396.2656,28,6,6,28,190,0,0,6,0,1,0,0,6,39,0,9,0,0,10,5,15
222824,4140.2261,12,5,5,12,1014,0,0,5,0,2,4,0,1,4,0,2,0,0,8,2,10
222826,7554.5569,25,5,5,25,17,72,72,5,12,12,13,0,0,0,0,0,0,0,7,3,10
222937,20530.5478,30,7,7,30,1014,0,0,7,15,8,51,0,0,1,0,13,0,0,16,5,21
222939,6746.0258,27,4,4,27,1014,0,0,4,7,0,33,0,0,0,0,5,0,0,6,0,6
223129,10.3517,13,5,5,13,528,294,294,5,33,0,0,0,0,0,0,0,0,0,10,0,10
223290,422.9994,14,4,4,14,309,39,35,4,0,11,2,0,0,6,0,1,0,0,6,0,6
223428,7866.2622,11,5,5,11,281,229,229,5,14,0,11,0,0,0,0,0,0,0,10,0,10
223445,831.8344,24,5,5,24,309,39,35,5,7,36,9,0,3,0,0,0,0,0,10,0,10
223555,1187.5944,16,4,4,16,281,229,229,4,2,15,5,0,0,4,0,0,0,0,6,0,6
223610,1136.3206,28,10,10,28,395,117,115,10,26,28,4,0,0,1,0,0,0,0,25,20,45
223687,1488.5667,20,6,6,20,281,229,229,6,10,19,6,0,1,1,0,0,0,0,12,3,15
223708,1354.9411,21,6,6,21,389,248,248,6,7,15,18,0,1,6,0,2,0,0,15,0,15
224089,458.3044,33,9,9,33,785,335,335,9,43,6,39,0,0,2,0,1,0,0,25,11,36
224189,1447.4247,20,5,5,20,630,98,98,5,10,8,19,0,0,4,0,5,0,0,9,1,10
224434,913.1197,22,6,6,22,239,38,38,6,30,18,13,0,0,3,0,0,0,0,15,0,15
224494,3149.6417,19,7,7,19,114,142,131,7,11,11,23,0,0,2,0,7,0,0,17,4,21
224604,23.5458,23,5,5,23,515,74,74,5,13,2,36,0,0,0,0,0,0,0,9,1,10
224792,320.1419,20,5,5,20,395,117,115,5,2,8,6,0,0,2,0,2,0,0,6,4,10
224863,2100.9506,28,8,8,28,46,4,4,8,12,15,27,0,1,4,0,2,0,0,20,8,28
225270,315.9622,32,5,5,32,437,66,66,5,10,14,24,12,1,4,4,0,1,0,10,0,10
225310,1064.0992,22,5,5,22,362,81,79,5,5,0,24,7,0,0,0,7,6,0,10,0,10
225355,73.9808,26,10,10,26,483,1782,1782,10,21,39,18,9,5,13,10,1,1,0,38,7,45
