"ElapsedTime","Interest","Contributors","CommunityInterest","ExternalContributors","DeveloperExperience","OwnerEngagement","OwnerSpectrum","TotalVertices","C1C1","C1C2","C1C3","C1C4","C2C2","C2C3","C2C4","C3C3","C3C4","C4C4","RepeatInteractions","total.distinct","TotalEdges"
734.5672,13,7,9,6,181,2242,1440,7,11,7,2,2,0,0,0,0,0,0,15,6,21
458.7686,9,5,6,4,181,2242,1440,5,1,4,0,0,3,0,2,0,0,0,7,3,10
1449.86,6,4,6,4,15804,0,0,4,3,0,0,2,0,0,0,0,0,0,3,3,6
1125.6697,9,3,4,2,163,755,118,3,3,0,0,2,0,0,0,0,0,0,3,0,3
760.995,12,5,8,4,56,309,44,5,6,1,0,2,0,0,0,0,0,0,5,5,10
501.5469,11,4,4,3,181,2242,1440,4,1,2,0,2,0,0,4,0,0,0,5,1,6
394.7683,9,3,3,2,163,755,118,3,0,1,0,2,0,0,0,0,0,0,2,1,3
357.1739,6,3,3,2,181,2242,1440,3,0,2,0,0,0,0,4,0,0,0,3,0,3
354.2367,11,5,6,4,30,80,11,5,7,0,0,2,0,0,0,0,0,0,5,5,10
1794.1364,8,3,8,3,1,0,0,3,1,0,0,2,0,0,1,0,0,0,3,0,3
391.9725,9,3,3,2,163,755,118,3,0,1,0,2,0,0,0,0,0,0,2,1,3
876.0075,10,5,5,4,56,309,44,5,6,0,0,2,0,0,0,0,0,0,5,5,10
426.7936,6,4,4,3,181,2242,1440,4,1,2,0,2,0,0,4,0,0,0,6,0,6
1443.6003,10,4,5,3,181,2242,1440,4,7,0,0,3,0,0,1,0,0,0,4,2,6
876.1089,8,4,4,3,56,309,44,4,5,0,0,2,0,0,0,0,0,0,4,2,6
345.575,7,4,7,4,15804,0,0,4,5,1,0,0,0,0,0,0,0,0,4,2,6
470.1269,8,3,4,2,23,44,20,3,4,2,0,4,0,0,0,0,0,0,3,0,3
2.5153,7,3,7,3,15804,0,0,3,6,0,0,0,0,0,0,0,0,0,1,2,3
345.4461,14,4,14,4,15804,0,0,4,11,1,0,0,1,0,1,0,0,0,4,2,6
50.7669,6,3,6,3,19,66,30,3,2,3,0,0,0,0,0,0,0,0,3,0,3
1122.5292,23,3,23,3,15804,0,0,3,8,0,5,5,0,0,0,0,0,0,2,1,3
333.9117,8,3,5,2,76,222,96,3,9,0,0,0,0,0,0,0,0,0,3,0,3
810.0925,13,5,7,4,416,2684,783,5,14,0,0,6,0,0,0,0,0,0,8,2,10
180.9878,8,3,7,2,1,6,5,3,9,0,0,0,0,0,0,0,0,0,2,1,3
317.3056,5,3,2,2,23,2061,2019,3,0,2,2,0,0,1,0,0,0,0,3,0,3
291.8114,5,3,2,2,23,2061,2019,3,0,2,2,0,0,1,0,0,0,0,3,0,3
598.2014,14,3,5,2,30,80,11,3,6,0,0,0,0,0,0,0,0,0,1,2,3
67.4236,7,3,4,2,5,28,19,3,3,0,0,4,0,0,0,0,0,0,3,0,3
1673.7806,14,6,7,5,181,2242,1440,6,4,2,6,0,0,1,0,0,2,0,8,7,15
